id,name,road_type
500651041,Gang Darussalam,living_street
484409951,Jalan Pekojan I Gang 2,living_street
519874070,Jalan Pademangan IV Gang 4,living_street
484448211,Jalan Kebon Pala Gang VI,living_street
496002732,Gang Kamboja VI,living_street
484448216,Jalan Kebon Pala Gang XIX,living_street
496002716,Gang Cip Asem IV,living_street
484448226,Jalan Kebon Pala XVI,living_street
519953177,Gang Pancar Daya II,living_street
484448229,Jalan Kebon Pala Gang XV,living_street
519876582,Gang Nasir I,living_street
486285957,Gang Bhakti VIII,living_street
500651231,Jalan Janur,living_street
486348174,Gang Kober,living_street
519876581,Gang Dja'ok,living_street
484501519,Gang Poncol,living_street
500836739,Jalan KP. Irian Gang 16,living_street
484500597,Jalan Poncol Gang V,living_street
500836736,Jalan KP. Irian Gang 15,living_street
484557029,Jalan Johar Baru IV A,living_street
500826032,Jalan Taruna Gang 23,living_street
484562572,Jalan Mardani Gang B,living_street
520201779,Gang Sairi I,living_street
484562573,Gang T,living_street
520229466,Gang Assidiqiyah IV,living_street
484562575,Gang S,living_street
520201754,Gang Subur II,living_street
484565236,Jalan Johar Baru Gang VI,living_street
519876527,Gang Amanah II,living_street
486422358,Gang Tebu,living_street
520229452,Gang Musholla At-Taubah I,living_street
484569772,Jalan Johar Baru Utara I,living_street
520229468,Gang Assidiqiyah II,living_street
484649202,Gang Staf VII,living_street
521149084,Gang Malu,living_street
484649203,Gang Staff II,living_street
521149281,Jalan Masjid Muyassarin,living_street
484649204,Gang Staff IV,living_street
521153107,Gang H. Droup,living_street
484650684,Gang Pelita 5,living_street
521153149,Jalan H. Abd Mutholib,living_street
484650697,Gang Pelita 3,living_street
521805464,Gang Masjid As Suadaa,living_street
484657260,Jalan Sayuti III,living_street
500869889,Gang H. Ali,living_street
484657261,Jalan Sayuti III,living_street
521454671,Gang H. Sulaiman,living_street
484661229,Jalan Poncol Gang IV,living_street
521765914,Gang H. Hamzah,living_street
484661231,Jalan Poncol,living_street
500876936,Gang Beres 1,living_street
484661232,Jalan Poncol,living_street
521153094,Gang Mangga,living_street
486490270,Gang X,living_street
517499971,Jalan Nurul Falah II,living_street
486490277,Gang Flamboyan VIII,living_street
521454741,Jalan Pondok Setia,living_street
484661383,Jalan Langgar,living_street
521707206,Gang H. Pekir,living_street
484661426,Gang Umar Saidi,living_street
521707225,Gang Seroja,living_street
484661418,Gang Wirawan,living_street
521454875,Gang H. Asir,living_street
484661419,Gang H. Gumat II,living_street
496002834,Gang Delima,living_street
484661421,Gang Waru,living_street
500930100,Jalan Nusa Indah VII Gang 3,living_street
484661425,Gang H. Gumat I,living_street
500916532,Jalan Aa 1,living_street
484685202,Gang Lontar 3,living_street
496601778,Jalan Paseban Dalam Gang 16,living_street
484689720,Gang Baru,living_street
496002801,Gang Dua,living_street
486490666,Gang Flamboyan VI,living_street
671765883,Jalan Cilincing Pagi 3,living_street
486490669,Gang Flamboyan VII,living_street
521840724,Gang Mushola,living_street
484689728,Gang Pancing,living_street
521856775,Jalan Sosial,living_street
484689734,Jalan Pramuka Jaya Sari Gang II,living_street
501019493,Jalan Bunga Rampai VII Gang 3,living_street
486490672,Gang Flamboyan II,living_street
499215930,Gang Taruna,living_street
484798254,Jalan Mochtar,living_street
500997710,Jalan Nusa Indah I Gang 6,living_street
484798264,Jalan Sayuti I,living_street
518489568,Gang Walang Timur,living_street
484805891,Jalan Gang I A,living_street
520229436,Gang An Nur I,living_street
484805894,Jalan Percetakan Negara XI A,living_street
523649914,Gang H. Main,living_street
484810300,Gang H,living_street
520229475,Gang Mushola,living_street
486490679,Gang Flamboyan I,living_street
501019508,Jalan Mawar Merah III Gang 3,living_street
484810302,Gang Baru,living_street
523574268,Jalan Tabah,living_street
486493438,Jalan Mangga VII E,living_street
523649835,Gang Kong Su'an,living_street
484851790,Jalan Matraman Salemba Gg III,living_street
501559904,Jalan Krekot Bunder Gang 9,living_street
484851791,Jalan Matraman Salemba Gg II,living_street
501568967,Gang kk,living_street
484851792,Jalan Matraman Salemba Gg IV,living_street
501977825,Gang Madrasah,living_street
484851793,Jalan Matraman Salemba Gg IX,living_street
523649814,Gang H. Ali,living_street
484851794,Jalan Matraman Salemba Gg I,living_street
522414634,Jalan Pedongkelan Baru,living_street
484851795,Jalan Matraman Salemba Gg VIII,living_street
496586424,Jalan Petak Serani III,living_street
484851796,Jalan Matraman Salemba Gg VII,living_street
523649807,Jalan H. Mahmud,living_street
